Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
prieskoniu-misinys-su-kanapemis,Prieskonių mišinys su kanapėmis,"<p>Vartojamas skaninimui bulvių patiekalams, sviestui, varškei, salotoms ir kitiems užkandžiams.</p>
<p>Sudėtis: maistinės kanapės, svogūnai, juodieji pipirai, valgomoji druska.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,80,1000.0,,0,deny,manual,1.85,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Prieskoniumisinyssukanapemis.jpg?v=1634634451,1,,false,,,,,,,,,,,,,,,,,kg,,,active
prieskoniu-misinys-su-kanapemis,,,,,,,,,250g,,,,,80-1,1000.0,,0,deny,manual,4.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-su-kanapemis,,,,,,,,,350g,,,,,80-2,1000.0,,0,deny,manual,6.48,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-su-kanapemis,,,,,,,,,1kg,,,,,80-3,1000.0,,0,deny,manual,18.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-su-alyvuogemis,Prieskonių mišinys su alyvuogėmis,"<p>Tinka picoms, salotoms, makaronams, lazanijoms, koldūnams, kiaušiniams.</p>
<p>Sudėtis: česnakai, raudonos ir žalios paprikos, svogūnai, alyvuogės, pomidorai, raudonėliai, petražolės, juodieji pipirai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,79,1000.0,,0,deny,manual,2.65,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Prieskoniumisinyssualyvuogemis.jpg?v=1634634388,1,,false,,,,,,,,,,,,,,,,,kg,,,active
prieskoniu-misinys-su-alyvuogemis,,,,,,,,,250g,,,,,79-1,1000.0,,0,deny,manual,6.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-su-alyvuogemis,,,,,,,,,350g,,,,,79-2,1000.0,,0,deny,manual,9.28,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-su-alyvuogemis,,,,,,,,,1kg,,,,,79-2,1000.0,,0,deny,manual,26.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-mesai-marinuoti,Prieskonių mišinys mėsai marinuoti,"Sudėtis: česnakai, mairūnai, juodieji pipirai, kvapieji pipirai, laurų lapai.",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,78,1000.0,,0,deny,manual,1.25,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Prieskoniumisinysmesaimarinuoti.jpg?v=1634634324,1,,false,,,,,,,,,,,,,,,,,kg,,,active
prieskoniu-misinys-mesai-marinuoti,,,,,,,,,250g,,,,,78-1,1000.0,,0,deny,manual,3.13,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-mesai-marinuoti,,,,,,,,,350g,,,,,78-2,1000.0,,0,deny,manual,4.38,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-mesai-marinuoti,,,,,,,,,1kg,,,,,78-3,1000.0,,0,deny,manual,12.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-doner,"Prieskonių mišinys ""Doner""","<p>Visų rūšių mėsai.</p>
<p>Sudėtis: druska, saldžios raudonos paprikos, česnakai, aštrios raudonos paprikos, juodieji pipirai, čili, raudonėliai, bazilikai, rozmarinas, augaliniai riebalai.</p>",Paskanink,"Food, Beverages & Tobacco > Food Items > Seasonings & Spices",,"",true,Size,100g,,,,,77,1000.0,,0,deny,manual,1.45,,true,true,"",https://cdn.shopify.com/s/files/1/0605/2898/4321/products/Prieskoniumisinysdoner.jpg?v=1634634247,1,,false,,,,,,,,,,,,,,,,,kg,,,active
prieskoniu-misinys-doner,,,,,,,,,250g,,,,,77-1,1000.0,,0,deny,manual,3.63,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-doner,,,,,,,,,350g,,,,,77-2,1000.0,,0,deny,manual,5.08,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
prieskoniu-misinys-doner,,,,,,,,,1kg,,,,,77-3,1000.0,,0,deny,manual,14.50,,true,true,"",,,,,,,,,,,,,,,,,,,,,kg,,,
